gameId,volume,sold,listed,scrapetime
1210932042,189,0,1,2023-10-28 02:33:25.156138
3219374379,2593,35,53,2023-10-28 02:33:25.156138
1931871564,23870,269,74,2023-10-28 02:33:25.156138
1182389421,117,0,2,2023-10-28 02:33:25.156138
1095790362,135,2,4,2023-10-28 02:33:25.156138
722627059,22,0,1,2023-10-28 02:33:25.156138
3001853150,330,1,17,2023-10-28 02:33:25.156138
1325145513,96,0,1,2023-10-28 02:33:25.156138
394725698,26,0,1,2023-10-28 02:33:25.156138
1027684532,184,0,1,2023-10-28 02:33:25.156138
1940108086,3900,74,21,2023-10-28 02:33:25.156138
2346492628,15,0,1,2023-10-28 02:33:25.156138
985158873,58,0,4,2023-10-28 02:33:25.156138
2536484945,9,0,2,2023-10-28 02:33:25.156138
2134461193,75,0,3,2023-10-28 02:33:25.156138
